"Event No","Event","Hash No","For Display","Annotations_English","Annotations_Spanish","Annotations_French"
38,"CoP15","#8","CoP15 #8","Underground parts (i.e. roots, rhizomes): whole, parts and powdered","Partes subterráneas (es decir, raíces y rizomas): enteras, partes y en polvo.","Toutes les parties souterraines (les racines, les rhizomes): entières, en morceaux ou en poudre."
38,"CoP15","#9","CoP15 #9","All parts and derivatives except those bearing a label “Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxx”.","Todas las partes y derivados, excepto los que lleven una etiqueta en la que se indique: “Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxx”. <p>(Producido a partir de material de <i>Hoodia</i> spp. obtenido mediante recolección y producción controlada en colaboración con las Autoridades Administrativas CITES de Botswana/Namibia/Sudáfrica con arreglo al acuerdo No. BW/NA/ZA xxxxxx).","Toutes les parties et tous les produits sauf ceux portant le label<p>“Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production in collaboration with the CITES Management Authorities of Botswana/Namibia/South Africa under agreement no. BW/NA/ZA xxxxxx”<p>(Produit issu de matériels d'<i>Hoodia</i> spp. obtenus par prélèvement et production contrôlés, en collaboration avec les organes de gestion CITES de l'Afrique du Sud, du Botswana ou de la Namibie selon l'accord no BW/NA/ZA xxxxxx)."
38,"CoP15","#10","CoP15 #10","Logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments","Trozas, madera aserrada, láminas de chapa de madera, incluyendo artículos de madera no terminados utilizados para la fabricación de arcos para instrumentos musicales de cuerda.","Les grumes, les bois sciés, les placages, y compris les articles en bois non finis utilisés dans la fabrication des archets d’instruments de musique à cordes."
38,"CoP15","#11","CoP15 #11","Logs, sawn wood, veneer sheets, plywood, powder and extracts","Trozas, madera aserrada, láminas de chapa de madera, madera contrachapada, polvo y extractos.","Les grumes, bois sciés, placages, contreplaqués, poudre et extraits."
38,"CoP15","#12","CoP15 #12","Logs, sawn wood, veneer sheets, plywood and essential oil (excluding finished products packaged and ready for retail trade)","Trozas, madera aserrada, láminas de chapa de madera, madera contrachapada y aceite esencial, (excluyendo los productos acabados empaquetados y preparados para el comercio al por menor).","Les grumes, bois sciés, placages, contreplaqués et huile essentielle (à l’exclusion des produits finis emballés et prêts pour le commerce de détail)."
38,"CoP15","#13","CoP15 #13","The kernel (also known as 'endosperm', 'pulp' or 'copra') and any derivative thereof","La copra (conocida también como 'endosperma' o 'pulpa') y cualquier derivado de la misma.","La pulpe (également appelée ""endosperme"" ou ""coprah""), ainsi que tout produit qui en est dérivé."
39,"CoP16","#1","CoP16 #1","All parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants; and<p>
d) fruits, and parts and derivatives thereof, of artificially propagated plants of the genus <i>Vanilla</i>","Todas las partes y derivados, excepto:<p>a) las semillas, las esporas y el polen (inclusive las polinias);<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de plantas reproducidas artificialmente; y<p>d) los frutos, y sus partes y derivados, de plantas reproducidas artificialmente del género <i>Vanilla</i>.","Toutes les parties et tous les produits sauf:<p>a) les graines, les spores et le pollen (y compris les pollinies);<p>b) les semis et les cultures de tissus obtenus in vitro, en milieu solide ou liquide, transportés dans des conteneurs stériles;<p>c) les fleurs coupées provenant de plantes reproduites artificiellement; et<p>d) les fruits, et leurs parties et produits, provenant de plantes reproduites artificiellement du genre <i>Vanilla</i>."
39,"CoP16","#2","CoP16 #2","All parts and derivatives except:<p>
a) seeds and pollen; and<p>
b) finished products packaged and ready for retail trade","Todas las partes y derivados, excepto:<p>a) las semillas y el polen; y<p>b) los productos acabados empaquetados y preparados para el comercio al por menor.","Toutes les parties et tous les produits sauf:<p>a) les graines et le pollen; et<p>b) les produits finis conditionnés et prêts pour la vente au détail."
39,"CoP16","#3","CoP16 #3","Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives, such as powders, pills, extracts, tonics, teas and confectionery","Las raíces enteras o en rodajas y partes de las raíces, excluidas las partes o derivados manufacturados como polvos, píldoras, extractos, tónicos, infusiones y artículos de confitería.","Racines entières et coupées et parties de racines, à l'exclusion des parties et produits manufacturés tels que poudres, pilules, extraits, tonics, thés et confiseries."
39,"CoP16","#4","CoP16 #4","All parts and derivatives, except:<p>
a) seeds (including seedpods of Orchidaceae), spores and pollen (including pollinia). The exemption does not apply to seeds from Cactaceae spp. exported from Mexico, and to seeds from <i>Beccariophoenix madagascariensis</i> and <i>Neodypsis decaryi</i> exported from Madagascar;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) cut flowers of artificially propagated plants;<p>
d) fruits, and parts and derivatives thereof, of naturalized or artificially propagated plants of the genus <i>Vanilla</i> (Orchidaceae) and of the family Cactaceae;<p>
e) stems, flowers, and parts and derivatives thereof, of naturalized or artificially propagated plants of the genera <i>Opuntia</i> subgenus <i>Opuntia</i> and <i>Selenicereus</i> (Cactaceae); and<p>
f) finished products of <i>Euphorbia antisyphilitica</i> packaged and ready for retail trade","Todas las partes y derivados, excepto:<p>a) las semillas (inclusive las vainas de Orchidaceae), las esporas y el polen (inclusive las polinias). La exención no se aplica a las semillas de Cactaceae spp. exportadas de México y las semillas de Beccariophoenix madagascariensis y Neodypsis decaryi exportadas de Madagascar;<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) las flores cortadas de plantas reproducidas artificialmente;<p>d) los frutos, y sus partes y derivados, de plantas naturalizadas o reproducidas artificialmente del género <i>Vanilla</i> (Orchidaceae) y de la familia Cactaceae;<p>e) los tallos, las flores, y sus partes y derivados, de plantas naturalizadas o reproducidas artificialmente de los géneros <i>Opuntia</i> subgénero Opuntia y Selenicereus (Cactaceae); y<p>f) los productos acabados de <i>Euphorbia antisyphilitica</i> empaquetados y preparados para el comercio al por menor.","Toutes les parties et tous les produits, sauf:<p>a) les graines (y compris les gousses d’Orchidaceae), les spores et le pollen (y compris les pollinies). La dérogation ne s’applique ni aux graines de Cactaceae spp. exportées du Mexique, ni aux graines de Beccariophoenix madagascariensis et de Neodypsis decaryi exportées de Madagascar;<p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles;<p>c) les fleurs coupées provenant de plantes reproduites artificiellement;<p>d) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement du genre <i>Vanilla</i> (Orchidaceae) et de la famille Cactaceae;<p>e) les tiges, les fleurs, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement des genres Opuntia sous-genre <i>Opuntia</i> et Selenicereus (Cactaceae); et <p>f) les produits finis d’<i>Euphorbia antisyphilitica</i> emballés et prêts pour le commerce de détail."
39,"CoP16","#5","CoP16 #5","Logs, sawn wood and veneer sheets","Trozas, madera aserrada y láminas de chapa de madera.","Les grumes, les bois sciés et les placages."
39,"CoP16","#6","CoP16 #6","Logs, sawn wood, veneer sheets and plywood","Trozas, madera aserrada, láminas de chapa de madera y madera contrachapada.","Les grumes, les bois sciés, les placages et les contreplaqués."
39,"CoP16","#7","CoP16 #7","Logs, wood-chips, powder and extracts","Trozas, troceados de madera, polvo y extractos.","Les grumes, les copeaux, la poudre et les extraits."
39,"CoP16","#8","CoP16 #8","Underground parts (i.e. roots, rhizomes): whole, parts and powdered","Partes subterráneas (es decir, raíces y rizomas): enteras, partes y en polvo.","Toutes les parties souterraines (les racines, les rhizomes): entières, en morceaux ou en poudre."
39,"CoP16","#9","CoP16 #9","All parts and derivatives except those bearing a label:<p>
“Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production under the terms of an agreement with the relevant CITES Management Authority of [Botswana under agreement No. BW/xxxxxx] [Namibia under agreement No. NA/xxxxxx] [South Africa under agreement No. ZA/xxxxxx]”","Todas las partes y derivados, excepto los que lleven la etiqueta:<p>“Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production under the terms of an agreement with the relevant CITES Management Authority of [Botswana under agreement No. BW/xxxxxx] [Namibia under agreement No. NA/xxxxxx] [South Africa under agreement No. ZA/xxxxxx]<p>(Producido a partir de material de <i>Hoodia</i> spp. obtenido mediante explotación y producción controlada, según los términos de un acuerdo con la Autoridad Administrativa CITES correspondiente de [Botswana mediante el acuerdo no. BW/xxxxxx] [Namibia mediante el acuerdo no. NA/xxxxxx] [Sudáfrica mediante el acuerdo no. ZA/xxxxxx])","Toutes les parties et tous les produits à l’exception de ceux portant une étiquette mentionnant:<p>“Produced from <i>Hoodia</i> spp. material obtained through controlled harvesting and production in collaboration under the terms of an agreement with the relevant CITES Management Authority of [Botswana under agreement No. BW/xxxxxx] [Namibia under agreement No. NA/xxxxxx] [South Africa under agreement no. BW/NA/No. ZA /xxxxxx]”.<p>(""Produit issu de matériels d’<i>Hoodia</i> spp. obtenus par prélèvement et production contrôlés conformément à un accord avec l'organe de gestion CITES pertinent [de l'Afrique du Sud selon l’accord no ZA/xxxxxx] [du Botswana selon l’accord no BW/xxxxxx] [de la Namibie selon l’accord no NA/xxxxxx]"")"
39,"CoP16","#10","CoP16 #10","Logs, sawn wood, veneer sheets, including unfinished wood articles used for the fabrication of bows for stringed musical instruments","Trozas, madera aserrada, láminas de chapa de madera, incluyendo artículos de madera no terminados utilizados para la fabricación de arcos para instrumentos musicales de cuerda.","Les grumes, les bois sciés, les placages, y compris les articles en bois non finis utilisés dans la fabrication des archets d’instruments de musique à cordes."
39,"CoP16","#11","CoP16 #11","Logs, sawn wood, veneer sheets, plywood, powder and extracts","Trozas, madera aserrada, láminas de chapa de madera, madera contrachapada, polvo y extractos.","Les grumes, bois sciés, placages, contreplaqués, poudre et extraits."
39,"CoP16","#12","CoP16 #12","Logs, sawn wood, veneer sheets, plywood and extracts. Finished products containing such extracts as ingredients, including fragrances, are not considered to be covered by this annotation","Trozas, madera aserrada, láminas de chapa de madera, madera contrachapada y extractos. Los productos terminados que contienen dichos extractos como ingredientes, incluidas las fragancias, no se considerarán cubiertos por esta anotación.","Les grumes, bois sciés, placages, contreplaqués et extraits. On considère que les produits finis contenant de tels extraits comme ingrédients (notamment les parfums), ne sont pas couverts par cette annotation."
39,"CoP16","#13","CoP16 #13","The kernel (also known as 'endosperm', 'pulp' or 'copra') and any derivative thereof","La copra (conocida también como 'endosperma' o 'pulpa') y cualquier derivado de la misma.","L’amande (également appelée ""endosperme"", ""pulpe"" ou ""coprah""), ainsi que tout produit qui en est dérivé."
39,"CoP16","#14","CoP16 #14","All parts and derivatives except:<p>
a) seeds and pollen;<p>
b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
c) fruits;<p>
d) leaves;<p>
e) exhausted agarwood powder, including compressed powder in all shapes; and<p>
f) finished products packaged and ready for retail trade; this exemption does not apply to beads, prayer beads and carvings","Todas las partes y derivados, excepto:<p>a) las semillas y el polen;<p>b) los cultivos de plántulas o de tejidos obtenidos in vitro, en medios sólidos o líquidos, que se transportan en envases estériles;<p>c) frutos;<p>d) hojas;<p>e) polvo de madera de agar consumido, inclusive el polvo comprimido en todas las formas; y<p>f) productos acabados envasados y preparados para el comercio al por menor; esta excepción no se aplica a las cuentas de collar, cuentas de oración o tallas.","Toutes les parties et tous les produits, sauf:<p>a) les graines et le pollen;<p>b) les cultures de plantules ou de tissus obtenues in vitro en milieu solide ou liquide et transportées en conteneurs stériles;<p>c) les fruits;<p>d) les feuilles;<p>e) la poudre épuisée de bois d’agar, y compris la poudre comprimée sous toutes ses formes; et<p>f) les produits finis conditionnés et prêts pour la vente au détail; cette dérogation ne s’applique pas aux perles, aux grains de chapelets et aux gravures."
